id,actual_category,predicted_intent,confidence,sentiment,priority,recommended_action,summary,latency,attempts,correct
1,warranty,warranty,high,satisfied,high,Please verify the warranty details and initiate a replacement process for the laptop.,"Laptop stopped working after 3 weeks, requesting warranty replacement.",5.762,1,True
2,warranty,warranty,high,angry,high,We will process a warranty claim for the keyboard issue and arrange for a replacement or repair.,"Customer claims keyboard keys are falling off on a 2-month-old device, alleging it should be covered under warranty.",2.124,1,True
3,warranty,warranty,high,satisfied,high,Please contact our warranty department to initiate a replacement or repair for your ThinkPad battery.,"Customer claims ThinkPad battery died after 6 weeks, expecting warranty coverage.",1.873,1,True
4,warranty,warranty,high,satisfied,high,Please assist the customer with filing a warranty claim for the broken charging port.,Customer's Lenovo device charging port broke unexpectedly and they want to file a warranty claim.,2.097,1,True
5,warranty,warranty,high,satisfied,high,Please process a warranty claim for a screen replacement under the terms of your warranty.,Customer reports dead pixels on screen straight out of the box and requests warranty replacement.,1.953,1,True
6,warranty,warranty,high,satisfied,high,Please contact our warranty department to initiate a repair or replacement under warranty.,"Laptop hinge cracked after normal use, device is 3 months old and under warranty.",1.925,1,True
7,repair,repair,high,angry,high,Schedule a repair appointment with our authorized service center as soon as possible to have the fan replaced.,Laptop fan is making a loud grinding noise and needs immediate repair.,1.882,1,True
8,repair,repair,high,satisfied,high,Schedule a repair appointment with a Lenovo authorized technician to diagnose and fix the issue with the trackpad.,Trackpad stopped responding completely.,1.707,1,True
9,repair,repair,high,angry,high,"We will send a repair kit to your address, please allow 3-5 business days for delivery.","Screen flickers constantly, making it impossible to work.",1.954,1,True
10,repair,repair,high,neutral,high,Please contact our authorized service center to schedule a repair for the faulty USB ports.,ThinkPad USB ports stopped working after software update.,1.778,1,True
11,repair,technical,high,angry,high,Please schedule a repair appointment for the laptop to inspect and replace the cooling system if necessary.,Laptop overheats and shuts down frequently.,1.72,1,False
12,repair,failed,none,none,none,none,none,1.627,2,False
13,refund,refund,high,angry,high,I will process a full refund for your laptop as soon as possible.,Customer is requesting a full refund due to multiple issues with the laptop within the first month of ownership.,2.104,1,True
14,refund,refund,high,angry,high,"Please initiate a refund process for the damaged laptop, and provide a prepaid return shipping label to facilitate the return.",Customer received damaged laptop 3 weeks after order and wants immediate refund.,1.995,1,True
15,refund,refund,high,angry,high,Please provide a return merchandise authorization (RMA) number and instructions on how to proceed with the refund process.,"Device does not match advertised specifications, requesting immediate refund.",1.879,1,True
16,refund,refund,high,angry,high,Please assist the customer with a refund process as soon as possible.,Customer has been waiting 2 months for a non-existent repair and wants a refund.,1.795,1,True
17,refund,refund,high,angry,high,Please process a full refund for the incorrect laptop model as soon as possible.,Customer received a different laptop model than ordered.,1.647,1,True
18,refund,refund,high,angry,high,Please investigate the refund status and provide an update on when the refund can be expected.,Customer has not received refund for returned device 3 weeks ago.,1.808,1,True
19,shipping,shipping,high,angry,high,Please contact our shipping department to investigate the status of your package and provide an estimated delivery date.,Customer is concerned about the delayed delivery of their order.,1.793,1,True
20,shipping,shipping,high,angry,high,Contact the shipping carrier to file a claim for the damaged packaging and request a replacement or refund.,"Laptop arrived with a crushed box, indicating possible shipping damage.",1.848,1,True
21,shipping,warranty,high,angry,high,Please contact our customer service team to assist with resolving the issue and providing a replacement order or refund.,Customer received incorrect order with someone else's items,1.804,1,False
22,shipping,shipping,high,angry,high,Please investigate the status of the missing package and provide an update on the expected delivery date.,Customer claims package was delivered but never received it.,1.747,1,True
23,shipping,shipping,high,angry,high,Please contact our customer service team to investigate and expedite the shipping of your order.,Customer claims order has not shipped despite 2-day shipping payment made 2 weeks ago.,1.925,1,True
24,shipping,shipping,high,angry,high,Contact the shipping carrier to re-ship the laptop to the correct address as soon as possible.,Laptop delivered to wrong address.,1.709,1,True
25,technical,technical,high,frustrated,high,Please have our technical team assist you with troubleshooting the WiFi connectivity issue on your laptop.,Laptop will not connect to WiFi after reinstalling drivers.,1.805,1,True
26,technical,failed,none,none,none,none,none,1.648,2,False
27,technical,technical,high,neutral,medium,Please try restarting your device and see if the Bluetooth feature is restored to functionality.,Bluetooth stopped working after device update.,1.596,1,True
28,technical,technical,high,frustrated,high,Schedule a repair appointment with our authorized service center to diagnose and fix the issue with the laptop screen.,Laptop screen goes black randomly while in use.,1.818,1,True
29,technical,technical,high,frustrated,high,Please check the device's storage configuration and ensure that the operating system and installed software are not taking up excessive space.,Device cannot install software due to insufficient storage despite having 400GB free space.,2.043,1,True
30,technical,technical,high,satisfied,medium,"Please provide more details about the issue, such as any error messages or recent software updates, to assist with troubleshooting.",Customer's laptop is running slowly after a fresh Windows install.,1.92,1,True
