id,actual_category,intent,priority,sentiment,urgency_score,recommended_action,route_to,estimated_resolution,summary,latency,correct
1,warranty,warranty,high,angry,8,Please contact our warranty team to initiate the replacement process for your laptop.,warranty_team,24 hours,Laptop stopped working after 3 weeks and needs replacement under warranty.,3.482,True
2,warranty,warranty,high,angry,8,Please contact our warranty team to schedule a repair or replacement for your device.,warranty_team,24 hours,"Device is only 2 months old with falling keyboard keys, claiming warranty coverage.",2.31,True
3,warranty,warranty,high,angry,8,Please contact our warranty team to initiate a replacement or repair for your ThinkPad battery.,warranty_team,24 hours,"ThinkPad battery died after 6 weeks, claiming warranty coverage.",2.271,True
4,warranty,warranty,high,angry,8,Please contact our warranty team to initiate a claim for a replacement charging port.,warranty_team,24 hours,"Charging port broke unexpectedly, no damage reported.",2.153,True
5,warranty,warranty,high,angry,8,Please contact our warranty team to initiate the replacement process for your device.,warranty_team,24 hours,Customer claims device arrived with dead pixels out of the box and requests warranty replacement.,2.341,True
6,warranty,warranty,high,angry,8,Please contact our warranty team to schedule a repair or replacement.,warranty_team,3-5 business days,"Hinge on 3-month-old laptop cracked after normal use, under warranty.",2.324,True
7,repair,technical,high,angry,9,Please contact our technical support team to schedule an immediate repair or replacement.,tech_support,immediate,Laptop fan making a loud grinding noise requiring immediate repair.,2.144,False
8,repair,technical,high,angry,8,Please contact our technical support team to schedule a repair or replacement for your trackpad.,tech_support,24 hours,Trackpad stopped responding completely.,2.083,False
9,repair,repair,high,angry,8,Please contact our repair center to schedule a repair for your device.,repair_center,3-5 business days,Device screen flickers constantly and is unusable.,2.336,True
10,repair,repair,high,angry,8,Please contact our repair center to schedule a repair for your ThinkPad's faulty USB ports.,repair_center,3-5 business days,ThinkPad's USB ports stopped working after a software update.,2.371,True
11,repair,technical,high,angry,8,Please contact our technical support team to schedule a repair or replacement for the cooling system.,tech_support,24 hours,Laptop overheats and shuts down frequently due to cooling system issue.,2.277,False
12,repair,failed,none,none,0,manual review required,general_support,unknown,classification failed,4.713,False
13,refund,refund,high,angry,8,Please contact our billing team to initiate a refund process for your laptop.,billing_team,24 hours,Customer is requesting a full refund due to multiple issues with the laptop within the first month of purchase.,2.364,True
14,refund,refund,high,angry,9,Please contact our billing team to initiate a refund for the damaged laptop.,billing_team,immediate,Damaged laptop received 3 weeks after order placement.,2.124,True
15,refund,refund,high,angry,8,Please contact our billing team to initiate a refund process for the incorrect device.,billing_team,immediate,"Device does not match advertised specifications, requesting refund immediately.",2.179,True
16,refund,refund,high,angry,8,Please contact our billing team to initiate a refund process for the unfulfilled repair.,billing_team,immediate,Customer is seeking a refund due to unfulfilled repair after 2 months of waiting.,2.421,True
17,refund,refund,high,angry,9,Please contact our billing team to initiate a full refund for the incorrect laptop model.,billing_team,immediate,"Received a different laptop model than ordered, requesting full refund.",2.235,True
18,refund,refund,high,angry,8,Please contact our billing team to inquire about the status of your refund.,billing_team,3-5 business days,Customer has not received refund for returned device after 3 weeks.,2.253,True
19,shipping,shipping,high,angry,8,Please contact our logistics team to track the status of your package and receive an estimated delivery date.,logistics_team,24 hours,Package delivery status not updated after 5 days,2.229,True
20,shipping,shipping,high,angry,8,Please contact our logistics team to arrange for a replacement or a refund for the damaged packaging.,logistics_team,24 hours,"Laptop arrived with a completely crushed box, indicating it was dropped multiple times during shipping.",2.419,True
21,shipping,shipping,high,angry,8,Please contact our billing team to report the issue and request a replacement order.,logistics_team,24 hours,Missing actual order received instead of someone else's order.,2.482,True
22,shipping,shipping,high,angry,9,Please contact our logistics team to investigate the missing package and arrange for its re-delivery.,logistics_team,24 hours,Package shows delivered but not received,2.184,True
23,shipping,shipping,high,angry,8,Please contact our billing team to inquire about the status of your order and expedite shipping.,billing_team,24 hours,Order has not shipped despite 2-day shipping payment 2 weeks ago.,2.386,True
24,shipping,shipping,high,angry,9,Please contact our logistics team to arrange for a new delivery at the correct address as soon as possible.,logistics_team,same day,Laptop delivered to wrong address,2.189,True
25,technical,technical,high,angry,8,Please contact our technical support team to assist with troubleshooting and resolving the WiFi connectivity issue.,tech_support,24 hours,Laptop will not connect to WiFi after reinstalling drivers.,2.258,True
26,technical,failed,none,none,0,manual review required,general_support,unknown,classification failed,4.382,False
27,technical,technical,high,angry,8,Please contact our technical support team to troubleshoot the issue and potentially roll back the update.,tech_support,24 hours,Bluetooth stopped working after device update.,2.133,True
28,technical,technical,high,angry,8,Please contact our technical support team to schedule a repair or replacement for your laptop screen.,tech_support,24 hours,Laptop screen goes black randomly while working,2.16,True
29,technical,technical,high,angry,8,Please contact our technical support team to assist with resolving the software installation issue.,tech_support,24 hours,Device cannot install software due to insufficient storage issue despite having 400GB free space.,2.315,True
30,technical,technical,high,angry,8,Please contact our technical support team to diagnose and resolve the issue with your laptop.,tech_support,24 hours,Laptop runs extremely slow after fresh Windows install.,2.157,True
